t,R2,R2std
0.00000,0.00000,0.00000
0.00060,0.00001,0.00000
0.00121,0.00002,0.00002
0.00181,0.00005,0.00004
0.00242,0.00008,0.00007
0.00302,0.00012,0.00011
0.00362,0.00017,0.00016
0.00423,0.00022,0.00021
0.00483,0.00029,0.00027
0.00544,0.00036,0.00034
0.00604,0.00043,0.00041
0.00664,0.00051,0.00049
0.00725,0.00060,0.00058
0.00785,0.00070,0.00067
0.00846,0.00080,0.00077
0.00906,0.00090,0.00086
0.00966,0.00101,0.00097
0.01027,0.00112,0.00107
0.01087,0.00124,0.00119
0.01148,0.00136,0.00130
0.01208,0.00149,0.00143
0.01268,0.00163,0.00156
0.01329,0.00177,0.00169
0.01389,0.00191,0.00182
0.01450,0.00205,0.00196
0.01510,0.00220,0.00209
0.01570,0.00236,0.00223
0.01631,0.00251,0.00238
0.01691,0.00268,0.00253
0.01752,0.00284,0.00268
0.01812,0.00301,0.00284
0.01872,0.00318,0.00300
0.01933,0.00336,0.00317
0.01993,0.00354,0.00334
0.02054,0.00372,0.00351
0.02114,0.00391,0.00370
0.02174,0.00411,0.00388
0.02235,0.00430,0.00407
0.02295,0.00451,0.00427
0.02356,0.00472,0.00448
0.02416,0.00493,0.00469
0.02477,0.00515,0.00490
0.02537,0.00538,0.00513
0.02597,0.00562,0.00537
0.02658,0.00585,0.00561
0.02718,0.00608,0.00587
0.02779,0.00632,0.00612
0.02839,0.00655,0.00637
0.02899,0.00679,0.00663
0.02960,0.00703,0.00690
0.03020,0.00728,0.00718
0.03081,0.00754,0.00748
0.03141,0.00779,0.00776
0.03201,0.00805,0.00804
0.03262,0.00830,0.00833
0.03322,0.00855,0.00862
0.03383,0.00881,0.00892
0.03443,0.00908,0.00922
0.03503,0.00933,0.00951
0.03564,0.00958,0.00978
0.03624,0.00982,0.01003
0.03685,0.01007,0.01030
0.03745,0.01032,0.01056
0.03805,0.01057,0.01083
0.03866,0.01083,0.01110
0.03926,0.01109,0.01137
0.03987,0.01135,0.01163
0.04047,0.01160,0.01187
0.04107,0.01184,0.01212
0.04168,0.01209,0.01237
0.04228,0.01235,0.01262
0.04289,0.01261,0.01290
0.04349,0.01286,0.01317
0.04409,0.01313,0.01345
0.04470,0.01339,0.01374
0.04530,0.01366,0.01404
0.04591,0.01393,0.01433
0.04651,0.01420,0.01462
0.04711,0.01448,0.01489
0.04772,0.01475,0.01517
0.04832,0.01503,0.01544
0.04893,0.01530,0.01572
0.04953,0.01559,0.01601
0.05013,0.01587,0.01630
0.05074,0.01616,0.01660
0.05134,0.01644,0.01688
0.05195,0.01672,0.01715
0.05255,0.01701,0.01745
0.05315,0.01730,0.01776
0.05376,0.01760,0.01808
0.05436,0.01790,0.01840
0.05497,0.01821,0.01869
0.05557,0.01852,0.01898
0.05617,0.01882,0.01928
0.05678,0.01913,0.01957
0.05738,0.01943,0.01984
0.05799,0.01973,0.02011
0.05859,0.02004,0.02039
0.05919,0.02034,0.02067
0.05980,0.02064,0.02094
0.06040,0.02094,0.02121
0.06101,0.02125,0.02149
0.06161,0.02154,0.02176
0.06221,0.02183,0.02204
0.06282,0.02214,0.02233
0.06342,0.02244,0.02262
0.06403,0.02275,0.02293
0.06463,0.02307,0.02324
0.06523,0.02339,0.02355
0.06584,0.02372,0.02386
0.06644,0.02406,0.02417
0.06705,0.02441,0.02448
0.06765,0.02476,0.02481
0.06826,0.02511,0.02514
0.06886,0.02546,0.02546
0.06946,0.02582,0.02579
0.07007,0.02617,0.02612
0.07067,0.02653,0.02647
0.07128,0.02689,0.02682
0.07188,0.02725,0.02717
0.07248,0.02759,0.02751
0.07309,0.02791,0.02784
0.07369,0.02823,0.02815
0.07430,0.02854,0.02847
0.07490,0.02885,0.02877
0.07550,0.02917,0.02908
0.07611,0.02948,0.02938
0.07671,0.02980,0.02972
0.07732,0.03013,0.03005
0.07792,0.03047,0.03040
0.07852,0.03083,0.03078
0.07913,0.03118,0.03116
0.07973,0.03153,0.03154
0.08034,0.03188,0.03190
0.08094,0.03223,0.03227
0.08154,0.03256,0.03262
0.08215,0.03288,0.03294
0.08275,0.03319,0.03320
0.08336,0.03350,0.03345
0.08396,0.03381,0.03370
0.08456,0.03411,0.03394
0.08517,0.03441,0.03418
0.08577,0.03472,0.03443
0.08638,0.03503,0.03469
0.08698,0.03534,0.03496
0.08758,0.03566,0.03523
0.08819,0.03599,0.03551
0.08879,0.03632,0.03580
0.08940,0.03665,0.03610
0.09000,0.03697,0.03639
