tau,c_fx_fx,c_fx_fy,c_fy_fy
0.00000000,13002912316.17646980,673005.77205882,13050984558.82353020
0.00000150,13000984742.64705849,623751.45220588,13049034926.47058868
0.00000300,12995113051.47058868,606050.91911765,13043132169.11764717
0.00000450,12985370588.23529434,618814.72426471,13033289338.23529434
0.00000600,12971702205.88235283,664956.25000000,13019551654.41176414
0.00000750,12954151838.23529434,742491.20772059,13001935294.11764717
0.00000900,12932779595.58823586,852818.56617647,12980402205.88235283
0.00001050,12907637867.64705849,993306.25000000,12955086580.88235283
0.00001200,12878624448.52941132,1160926.10294118,12925975000.00000000
0.00001350,12845985294.11764717,1361664.41176471,12893112500.00000000
0.00001500,12809600919.11764717,1587600.00000000,12856578860.29411697
0.00001650,12769645220.58823586,1842393.01470588,12816407536.76470566
0.00001800,12726070404.41176414,2124460.11029412,12772676286.76470566
0.00001950,12679047426.47058868,2431774.26470588,12725396139.70588303
0.00002100,12628586764.70588303,2761717.97794118,12674703676.47058868
0.00002250,12574773529.41176414,3116437.13235294,12620657536.76470566
0.00002400,12517659742.64705849,3491966.17647059,12563345036.76470566
0.00002550,12457394301.47058868,3888137.50000000,12502807720.58823586
0.00002700,12393970036.76470566,4304749.26470588,12439164338.23529434
0.00002850,12327566727.94117737,4739338.97058824,12372544301.47058868
0.00003000,12258229044.11764717,5189049.26470588,12302938786.76470566
0.00003150,12186021323.52941132,5654896.87500000,12230526286.76470566
0.00003300,12111059558.82353020,6134906.96691176,12155392095.58823586
0.00003450,12033517830.88235283,6628143.84007353,12077603125.00000000
0.00003600,11953365257.35294151,7131179.41176471,11997267279.41176414
0.00003750,11870777573.52941132,7645323.82352941,11914514889.70588303
0.00003900,11785868566.17646980,8169083.57904412,11829427205.88235283
0.00004050,11698679227.94117737,8697792.22426471,11742109007.35294151
0.00004200,11609363786.76470566,9234058.40073529,11652652573.52941132
0.00004350,11518016727.94117737,9775915.07352941,11561169117.64705849
0.00004500,11424730514.70588303,10321656.98529412,11467782169.11764717
0.00004650,11329588602.94117737,10870509.74264706,11372577757.35294151
0.00004800,11232734375.00000000,11420719.85294118,11275634375.00000000
0.00004950,11134240992.64705849,11972743.58455882,11177110845.58823586
0.00005100,11034211948.52941132,12524467.46323529,11077060294.11764717
0.00005250,10932771691.17646980,13073864.52205882,10975601654.41176414
0.00005400,10829952205.88235283,13621866.17647059,10872853125.00000000
0.00005550,10725931433.82353020,14168157.94117647,10768863051.47058868
