tau,cvxvx
0.00000000,24602.80045956
0.00003001,24586.71566176
0.00006002,24554.68727941
0.00009002,24509.01446691
0.00012003,24452.52529412
0.00015004,24387.90125000
0.00018005,24317.37104779
0.00021006,24242.66419118
0.00024007,24165.09498162
0.00027007,24085.60231618
0.00030008,24004.89882353
0.00033009,23923.47919118
0.00036010,23841.72007353
0.00039011,23759.88884191
0.00042011,23678.17341912
0.00045012,23596.71876838
0.00048013,23515.63564338
0.00051014,23434.99332721
0.00054015,23354.86213235
0.00057016,23275.28799632
0.00060016,23196.30650735
0.00063017,23117.92998162
0.00066018,23040.17264706
0.00069019,22963.03428309
0.00072020,22886.52233456
0.00075020,22810.62711397
0.00078021,22735.36312500
0.00081022,22660.73593750
0.00084023,22586.73591912
0.00087024,22513.36764706
0.00090025,22440.61079044
0.00093025,22368.46159926
0.00096026,22296.89330882
0.00099027,22225.91479779
0.00102028,22155.50101103
0.00105029,22085.65737132
0.00108030,22016.35395221
0.00111030,21947.58950368
0.00114031,21879.35680147
0.00117032,21811.65310662
0.00120033,21744.48913603
0.00123034,21677.87479779
0.00126034,21611.80735294
0.00129035,21546.28766544
0.00132036,21481.30634191
0.00135037,21416.86009191
0.00138038,21352.93946691
0.00141039,21289.53193015
0.00144039,21226.62617647
0.00147040,21164.20799632
0.00150041,21102.26858456
0.00153042,21040.80283088
0.00156043,20979.79943015
0.00159043,20919.25213235
0.00162044,20859.16152574
0.00165045,20799.51709559
0.00168046,20740.31224265
0.00171047,20681.54200368
0.00174048,20623.21110294
0.00177048,20565.31137868
0.00180049,20507.84365809
0.00183050,20450.80871324
0.00186051,20394.19928309
0.00189052,20338.00777574
0.00192052,20282.22786765
0.00195053,20226.85977941
0.00198054,20171.89158088
0.00201055,20117.32612132
0.00204056,20063.16834559
0.00207057,20009.39770221
0.00210057,19956.02650735
0.00213058,19903.03411765
0.00216059,19850.41608640
0.00219060,19798.16735294
0.00222061,19746.27824816
0.00225061,19694.75298897
0.00228062,19643.60697243
0.00231063,19592.83471324
0.00234064,19542.43845588
0.00237065,19492.41329779
0.00240066,19442.75218015
0.00243066,19393.44461581
0.00246067,19344.50392647
0.00249068,19295.93648346
0.00252069,19247.73667463
0.00255070,19199.90168382
0.00258071,19152.43724081
0.00261071,19105.32730882
0.00264072,19058.57514706
0.00267073,19012.17478493
0.00270074,18966.13143015
0.00273075,18920.45088603
0.00276075,18875.12642279
0.00279076,18830.15701838
0.00282077,18785.53365809
0.00285078,18741.24995956
0.00288079,18697.28525368
0.00291080,18653.63560478
0.00294080,18610.29509926
0.00297081,18567.26241912
0.00300082,18524.52014154
0.00303083,18482.06931066
0.00306084,18439.89059743
0.00309084,18397.98135294
0.00312085,18356.33195221
0.00315086,18314.92920404
0.00318087,18273.76190625
0.00321088,18232.80593566
0.00324089,18192.05620956
0.00327089,18151.50088051
0.00330090,18111.12862868
0.00333091,18070.94226287
0.00336092,18030.93904228
0.00339093,17991.12775000
0.00342093,17951.50865441
0.00345094,17912.08720588
0.00348095,17872.87687500
0.00351096,17833.87429191
0.00354097,17795.08345846
0.00357098,17756.51351379
0.00360098,17718.15993419
0.00363099,17680.02563450
0.00366100,17642.11328989
0.00369101,17604.39904669
0.00372102,17566.88871618
0.00375102,17529.56904816
0.00378103,17492.42639869
0.00381104,17455.45403882
0.00384105,17418.64535496
0.00387106,17381.99694853
0.00390107,17345.50882298
0.00393107,17309.18738952
0.00396108,17273.04139835
0.00399109,17237.05849632
0.00402110,17201.24892629
0.00405111,17165.59375184
0.00408112,17130.09607721
0.00411112,17094.75325368
0.00414113,17059.56370221
0.00417114,17024.52929963
0.00420115,16989.65902941
0.00423116,16954.94815809
0.00426116,16920.41544853
0.00429117,16886.07249449
0.00432118,16851.92685662
0.00435119,16817.98136765
0.00438120,16784.23970037
0.00441121,16750.70217463
0.00444121,16717.37372978
0.00447122,16684.25324265
0.00450123,16651.33929779
0.00453124,16618.63260110
0.00456125,16586.12279246
0.00459125,16553.80498621
0.00462126,16521.67104393
0.00465127,16489.72885625
0.00468128,16457.98110588
0.00471129,16426.42650404
0.00474130,16395.06819540
0.00477130,16363.90881875
0.00480131,16332.93181603
0.00483132,16302.12979724
0.00486133,16271.49011287
0.00489134,16241.00216599
0.00492134,16210.66096930
0.00495135,16180.45427813
0.00498136,16150.37897794
0.00501137,16120.42310294
0.00504138,16090.58412132
0.00507139,16060.85474081
0.00510139,16031.23882537
0.00513140,16001.73211581
0.00516141,15972.34857721
0.00519142,15943.08686213
0.00522143,15913.94315257
0.00525143,15884.93036765
0.00528144,15856.05675368
0.00531145,15827.32563603
0.00534146,15798.75272059
0.00537147,15770.32683824
0.00540148,15742.05358088
0.00543148,15713.93210662
0.00546149,15685.96135110
0.00549150,15658.14842279
0.00552151,15630.49897610
0.00555152,15603.01903309
0.00558153,15575.70667279
0.00561153,15548.56032169
0.00564154,15521.57267279
0.00567155,15494.73784375
0.00570156,15468.04479228
0.00573157,15441.49775735
0.00576157,15415.09223143
0.00579158,15388.83409357
0.00582159,15362.73068768
0.00585160,15336.76662132
0.00588161,15310.94661029
0.00591162,15285.25557721
0.00594162,15259.68202574
0.00597163,15234.22045772
0.00600164,15208.86383640
0.00603165,15183.60906801
0.00606166,15158.44330147
0.00609166,15133.36785110
0.00612167,15108.37136397
0.00615168,15083.45450735
0.00618169,15058.62275735
0.00621170,15033.87447243
0.00624171,15009.20756801
0.00627171,14984.62226654
0.00630172,14960.12533272
0.00633173,14935.72170772
0.00636174,14911.40787500
0.00639175,14887.19144853
0.00642175,14863.07790257
0.00645176,14839.06287500
0.00648177,14815.15632721
0.00651178,14791.36129779
0.00654179,14767.68692831
0.00657180,14744.12804596
0.00660180,14720.69593382
0.00663181,14697.37941176
0.00666182,14674.17531985
0.00669183,14651.08125331
0.00672184,14628.09208842
0.00675184,14605.20527335
0.00678185,14582.42342057
0.00681186,14559.74550483
0.00684187,14537.16647206
0.00687188,14514.67943033
0.00690189,14492.26700000
0.00693189,14469.91661765
0.00696190,14447.61277390
0.00699191,14425.33921324
0.00702192,14403.09918934
0.00705193,14380.89219301
0.00708194,14358.71664154
0.00711194,14336.59138051
0.00714195,14314.52647978
0.00717196,14292.52167279
0.00720197,14270.58868199
0.00723198,14248.74152868
0.00726198,14226.97826471
0.00729199,14205.29133768
0.00732200,14183.67879945
0.00735201,14162.12977169
0.00738202,14140.63648750
0.00741203,14119.20804687
0.00744203,14097.83678713
0.00747204,14076.53691489
0.00750205,14055.31218629
0.00753206,14034.15960827
0.00756207,14013.08244761
0.00759207,13992.08047757
0.00762208,13971.15068750
0.00765209,13950.29150551
0.00768210,13929.49913051
0.00771211,13908.77241544
0.00774212,13888.12506434
0.00777212,13867.55864890
0.00780213,13847.08084926
0.00783214,13826.70146875
0.00786215,13806.41822187
0.00789216,13786.22087941
0.00792216,13766.10771287
0.00795217,13746.07002914
0.00798218,13726.09165765
0.00801219,13706.17260386
0.00804220,13686.29976746
